Date,Arrivals
2014-01-01,90
2014-01-02,97
2014-01-03,80
2014-01-04,92
2014-01-05,76
2014-01-06,66
2014-01-07,80
2014-01-08,75
2014-01-09,78
2014-01-10,88
2014-01-11,106
2014-01-12,101
2014-01-13,95
2014-01-14,73
2014-01-15,77
2014-01-16,67
2014-01-17,93
2014-01-18,54
2014-01-19,84
2014-01-20,80
2014-01-21,75
2014-01-22,69
2014-01-23,76
2014-01-24,85
2014-01-25,82
2014-01-26,98
2014-01-27,80
2014-01-28,74
2014-01-29,65
2014-01-30,67
2014-01-31,85
2014-02-01,77
2014-02-02,66
2014-02-03,89
2014-02-04,73
2014-02-05,64
2014-02-06,78
2014-02-07,84
2014-02-08,87
2014-02-09,74
2014-02-10,83
2014-02-11,86
2014-02-12,75
2014-02-13,80
2014-02-14,132
2014-02-15,92
2014-02-16,90
2014-02-17,75
2014-02-18,91
2014-02-19,100
2014-02-20,72
2014-02-21,94
2014-02-22,93
2014-02-23,93
2014-02-24,102
2014-02-25,72
2014-02-26,97
2014-02-27,84
2014-02-28,94
2014-03-01,79
2014-03-02,80
2014-03-03,94
2014-03-04,90
2014-03-05,72
2014-03-06,69
2014-03-07,94
2014-03-08,82
2014-03-09,85
2014-03-10,89
2014-03-11,71
2014-03-12,83
2014-03-13,96
2014-03-14,81
2014-03-15,77
2014-03-16,82
2014-03-17,76
2014-03-18,93
2014-03-19,74
2014-03-20,69
2014-03-21,69
2014-03-22,93
2014-03-23,85
2014-03-24,89
2014-03-25,84
2014-03-26,85
2014-03-27,91
2014-03-28,79
2014-03-29,81
2014-03-30,112
2014-03-31,89
2014-04-01,77
2014-04-02,81
2014-04-03,87
2014-04-04,80
2014-04-05,85
2014-04-06,94
2014-04-07,97
2014-04-08,92
2014-04-09,109
2014-04-10,84
2014-04-11,94
2014-04-12,95
2014-04-13,75
2014-04-14,83
2014-04-15,59
2014-04-16,79
2014-04-17,91
2014-04-18,88
2014-04-19,97
2014-04-20,94
2014-04-21,93
2014-04-22,82
2014-04-23,85
2014-04-24,87
2014-04-25,88
2014-04-26,118
2014-04-27,98
2014-04-28,99
2014-04-29,77
2014-04-30,85
2014-05-01,88
2014-05-02,83
2014-05-03,91
2014-05-04,76
2014-05-05,88
2014-05-06,96
2014-05-07,93
2014-05-08,96
2014-05-09,96
2014-05-10,89
2014-05-11,106
2014-05-12,89
2014-05-13,69
2014-05-14,94
2014-05-15,77
2014-05-16,93
2014-05-17,108
2014-05-18,88
2014-05-19,94
2014-05-20,92
2014-05-21,87
2014-05-22,84
2014-05-23,84
2014-05-24,100
2014-05-25,96
2014-05-26,99
2014-05-27,92
2014-05-28,80
2014-05-29,78
2014-05-30,59
2014-05-31,100
2014-06-01,113
2014-06-02,97
2014-06-03,77
2014-06-04,67
2014-06-05,98
2014-06-06,103
2014-06-07,96
2014-06-08,90
2014-06-09,101
2014-06-10,60
2014-06-11,100
2014-06-12,68
2014-06-13,76
2014-06-14,84
2014-06-15,97
2014-06-16,94
2014-06-17,87
2014-06-18,76
2014-06-19,76
2014-06-20,85
2014-06-21,88
2014-06-22,78
2014-06-23,106
2014-06-24,78
2014-06-25,79
2014-06-26,87
2014-06-27,91
2014-06-28,97
2014-06-29,92
2014-06-30,106
2014-07-01,83
2014-07-02,73
2014-07-03,85
2014-07-04,87
2014-07-05,115
2014-07-06,96
2014-07-07,99
2014-07-08,93
2014-07-09,78
2014-07-10,107
2014-07-11,77
2014-07-12,85
2014-07-13,94
2014-07-14,91
2014-07-15,85
2014-07-16,81
2014-07-17,96
2014-07-18,86
2014-07-19,90
2014-07-20,98
2014-07-21,99
2014-07-22,71
2014-07-23,85
2014-07-24,78
2014-07-25,94
2014-07-26,104
2014-07-27,108
2014-07-28,110
2014-07-29,107
2014-07-30,98
2014-07-31,78
2014-08-01,97
2014-08-02,96
2014-08-03,104
2014-08-04,109
2014-08-05,87
2014-08-06,86
2014-08-07,87
2014-08-08,86
2014-08-09,105
2014-08-10,99
2014-08-11,102
2014-08-12,93
2014-08-13,95
2014-08-14,82
2014-08-15,79
2014-08-16,104
2014-08-17,115
2014-08-18,107
2014-08-19,81
2014-08-20,96
2014-08-21,99
2014-08-22,85
2014-08-23,97
2014-08-24,113
2014-08-25,107
2014-08-26,90
2014-08-27,85
2014-08-28,79
2014-08-29,87
2014-08-30,104
2014-08-31,113
2014-09-01,101
2014-09-02,106
2014-09-03,98
2014-09-04,88
2014-09-05,86
2014-09-06,90
2014-09-07,105
2014-09-08,105
2014-09-09,105
2014-09-10,82
2014-09-11,93
2014-09-12,83
2014-09-13,102
2014-09-14,97
2014-09-15,103
2014-09-16,105
2014-09-17,61
2014-09-18,83
2014-09-19,130
2014-09-20,93
2014-09-21,96
2014-09-22,92
2014-09-23,76
2014-09-24,75
2014-09-25,84
2014-09-26,78
2014-09-27,97
2014-09-28,100
2014-09-29,103
2014-09-30,76
2014-10-01,71
2014-10-02,97
2014-10-03,74
2014-10-04,86
2014-10-05,103
2014-10-06,84
2014-10-07,98
2014-10-08,93
2014-10-09,77
2014-10-10,96
2014-10-11,94
2014-10-12,93
2014-10-13,93
2014-10-14,87
2014-10-15,89
2014-10-16,75
2014-10-17,90
2014-10-18,100
2014-10-19,101
2014-10-20,92
2014-10-21,83
2014-10-22,82
2014-10-23,66
2014-10-24,109
2014-10-25,84
2014-10-26,98
2014-10-27,89
2014-10-28,78
2014-10-29,78
2014-10-30,80
2014-10-31,109
2014-11-01,72
2014-11-02,95
2014-11-03,86
2014-11-04,73
2014-11-05,92
2014-11-06,65
2014-11-07,98
2014-11-08,79
2014-11-09,101
2014-11-10,90
2014-11-11,72
2014-11-12,80
2014-11-13,80
2014-11-14,83
2014-11-15,82
2014-11-16,83
2014-11-17,69
2014-11-18,78
2014-11-19,76
2014-11-20,78
2014-11-21,83
2014-11-22,85
2014-11-23,103
2014-11-24,80
2014-11-25,80
2014-11-26,83
2014-11-27,81
2014-11-28,108
2014-11-29,96
2014-11-30,80
2014-12-01,91
2014-12-02,85
2014-12-03,93
2014-12-04,86
2014-12-05,109
2014-12-06,92
2014-12-07,87
2014-12-08,86
2014-12-09,88
